competition_name,to_team_name,player_name,market_value,transfer_fees,variation_pct,rank
Brasileiro,Cruzeiro Esporte Clube,Ryan Guilherme,700000.0,1400000.0,100.0,104
Serie A,US Lecce,Milos Jovic,500000.0,1000000.0,100.0,105
La Liga,Getafe CF,Davinchi,300000.0,600000.0,100.0,106
Eredivisie,PSV Eindhoven,Ruben van Bommel,8000000.0,15800000.0,97.5,107
Premier League,Nottingham Forest,Omari Hutchinson,22000000.0,43400000.0,97.27,108
La Liga,Real Betis Balompié,Nelson Deossa,6000000.0,11700000.0,95.0,109
Premier League,Newcastle United,Malick Thiaw,18000000.0,35000000.0,94.44,110
Ligue 1,Stade Rennais FC,Estéban Lepaul,7000000.0,13500000.0,92.86,111
Premier League,Burnley FC,Armando Broja,12000000.0,23000000.0,91.67,112
Eredivisie,NEC Nijmegen,Deveron Fonville,450000.0,850000.0,88.89,113
Ligue 1,RC Lens,Mattia Fortin,800000.0,1500000.0,87.5,114
Brasileiro,Sport Club Internacional,Alan Rodríguez,2300000.0,4300000.0,86.96,115
Eredivisie,Feyenoord Rotterdam,Jordan Bos,2700000.0,5000000.0,85.19,116
Saudi Pro League,Al-Hilal SFC,Yusuf Akçiçek,12000000.0,22000000.0,83.33,117
Bundesliga,RB Leipzig,Rômulo,11000000.0,20000000.0,81.82,118
Premier League,Newcastle United,Yoane Wissa,32000000.0,57700000.0,80.31,119
Saudi Pro League,Al-Ahli SFC,Matheus Gonçalves,5000000.0,9000000.0,80.0,120
Serie A,Parma Calcio 1913,Mariano Troilo,4000000.0,7200000.0,80.0,121
Brasileiro,CR Flamengo,Jorge Carrascal,7000000.0,12500000.0,78.57,122
Saudi Pro League,Al-Ittihad Club,Mahamadou Doumbia,9000000.0,16000000.0,77.78,123
Bundesliga,1.FC Köln,Rav van den Berg,4500000.0,8000000.0,77.78,124
Liga Portugal,SL Benfica,Franjo Ivanović,13000000.0,22800000.0,75.38,125
Bundesliga,Bayer 04 Leverkusen,Jarell Quansah,20000000.0,35000000.0,75.0,126
Ligue 1,RC Strasbourg Alsace,Samuel Amo-Ameyaw,4000000.0,7000000.0,75.0,127
Brasileiro,Sociedade Esportiva Palmeiras,Jefté,4000000.0,7000000.0,75.0,128
Ligue 1,LOSC Lille,Félix Correia,4000000.0,7000000.0,75.0,129
Serie A,US Lecce,Matías Pérez,300000.0,525000.0,75.0,130
Premier League,Liverpool FC,Giovanni Leoni,18000000.0,31000000.0,72.22,131
Ligue 1,Paris FC,Otávio,10000000.0,17000000.0,70.0,132
Super Lig,Göztepe,Junior Olaitan,500000.0,850000.0,70.0,133
Liga Portugal,SL Benfica,Richard Ríos,16000000.0,27000000.0,68.75,134
Serie A,Atalanta BC,Nikola Krstović,15000000.0,25000000.0,66.67,135
Liga Portugal,FC Porto,Victor Froholdt,12000000.0,20000000.0,66.67,136
Ligue 1,FC Toulouse,Santiago Hidalgo,1500000.0,2500000.0,66.67,137
Premier League,AFC Bournemouth,Ben Doak,14000000.0,23200000.0,65.71,138
Premier League,Leeds United,Gabriel Gudmundsson,7000000.0,11600000.0,65.71,139
La Liga,Deportivo Alavés,Lucas Boyé,3500000.0,5800000.0,65.71,140
Serie A,AS Roma,Jan Ziolkowski,4000000.0,6600000.0,65.0,141
Ligue 1,LOSC Lille,Hamza Igamane,7000000.0,11500000.0,64.29,142
Serie A,Parma Calcio 1913,Abdoulaye Ndiaye,4000000.0,6500000.0,62.5,143
Premier League,Everton FC,Tyler Dibling,25000000.0,40500000.0,62.0,144
Premier League,West Ham United,Jean-Clair Todibo,25000000.0,40000000.0,60.0,145
Premier League,Leeds United,Lucas Perri,10000000.0,16000000.0,60.0,146
La Liga,Villarreal CF,Tani Oluwaseyi,5000000.0,8000000.0,60.0,147
Bundesliga,Borussia Mönchengladbach,Shuto Machino,5000000.0,8000000.0,60.0,148
Premier League,Burnley FC,Lesley Ugochukwu,18000000.0,28700000.0,59.44,149
Serie A,Como 1907,Nicolas Kühn,12000000.0,19000000.0,58.33,150
Eredivisie,Feyenoord Rotterdam,Gaoussou Diarra,2400000.0,3800000.0,58.33,151
Premier League,Sunderland AFC,Habib Diarra,20000000.0,31500000.0,57.5,152
Serie A,AS Roma,Neil El Aynaoui,15000000.0,23500000.0,56.67,153
Premier League,Wolverhampton Wanderers,Jackson Tchatchoua,8000000.0,12500000.0,56.25,154
Premier League,Brentford FC,Dango Ouattara,28000000.0,42800000.0,52.86,155
Saudi Pro League,Al-Nassr FC,Mohamed Simakan,23000000.0,35000000.0,52.17,156
Saudi Pro League,Al-Qadsiah FC,Mateo Retegui,45000000.0,68250000.0,51.67,157
Premier League,Burnley FC,Loum Tchaouna,10000000.0,15150000.0,51.5,158
Ligue 1,Paris Saint-Germain,Ilya Zabarnyi,42000000.0,63000000.0,50.0,159
La Liga,Real Madrid,Franco Mastantuono,30000000.0,45000000.0,50.0,160
Premier League,Everton FC,Thierno Barry,20000000.0,30000000.0,50.0,161
Saudi Pro League,Al-Nassr FC,João Félix,20000000.0,30000000.0,50.0,162
Super Lig,Fenerbahce,Dorgeles Nene,12000000.0,18000000.0,50.0,163
Liga Portugal,FC Porto,Alberto Costa,10000000.0,15000000.0,50.0,164
Liga Portugal,Sporting CP,Georgios Vagiannidis,8000000.0,12000000.0,50.0,165
Premier League,Brighton & Hove Albion,Tom Watson,8000000.0,12000000.0,50.0,166
La Liga,Villarreal CF,Tajon Buchanan,6000000.0,9000000.0,50.0,167
Serie A,Bologna FC 1909,Nadir Zortea,5000000.0,7500000.0,50.0,168
Ligue 1,RC Strasbourg Alsace,Maxi Oyedele,4000000.0,6000000.0,50.0,169
Serie A,Cagliari Calcio,Gianluca Gaetano,4000000.0,6000000.0,50.0,170
Liga Portugal,FC Porto,Dominik Prpić,3000000.0,4500000.0,50.0,171
Ligue 1,AS Monaco,Lukas Hradecky,2000000.0,3000000.0,50.0,172
Serie A,US Lecce,Álex Sala,1000000.0,1500000.0,50.0,173
Saudi Pro League,Al-Ettifaq FC,Mohau Nkota,800000.0,1200000.0,50.0,174
Saudi Pro League,Al-Taawoun FC,Renne Rivas,400000.0,600000.0,50.0,175
Eredivisie,AZ Alkmaar,Isak Jensen,2700000.0,4000000.0,48.15,176
Eredivisie,FC Groningen,Tyrique Mercera,450000.0,663000.0,47.33,177
Brasileiro,Fluminense Football Club,Santiago Moreno,3500000.0,5150000.0,47.14,178
Liga Portugal,Sporting CP,Fotis Ioannidis,15000000.0,22000000.0,46.67,179
Eredivisie,Ajax Amsterdam,Raúl Moro,7500000.0,11000000.0,46.67,180
Premier League,Newcastle United,Anthony Elanga,42000000.0,61400000.0,46.19,181
Premier League,Leeds United,Noah Okafor,13000000.0,19000000.0,46.15,182
Saudi Pro League,Al-Ittihad Club,Roger Fernandes,22000000.0,32000000.0,45.45,183
Ligue 1,RC Strasbourg Alsace,Mathis Amougou,10000000.0,14500000.0,45.0,184
Premier League,Sunderland AFC,Omar Alderete,8000000.0,11600000.0,45.0,185
Premier League,AFC Bournemouth,Djordje Petrovic,20000000.0,28900000.0,44.5,186
Premier League,Wolverhampton Wanderers,Tolu Arokodare,18000000.0,26000000.0,44.44,187
Premier League,Everton FC,Kiernan Dewsbury-Hall,20000000.0,28650000.0,43.25,188
La Liga,Real Madrid,Álvaro Carreras,35000000.0,50000000.0,42.86,189
Premier League,Leeds United,Anton Stach,14000000.0,20000000.0,42.86,190
Ligue 1,Olympique Lyon,Tyler Morton,7000000.0,10000000.0,42.86,191
Serie A,Pisa Sporting Club,Henrik Meister,2800000.0,4000000.0,42.86,192
Serie A,Como 1907,Fellipe Jack,1400000.0,2000000.0,42.86,193
Eredivisie,Go Ahead Eagles,Richonell Margaret,700000.0,1000000.0,42.86,194
Premier League,Manchester City,James Trafford,22000000.0,31200000.0,41.82,195
Premier League,Tottenham Hotspur,Mohammed Kudus,45000000.0,63800000.0,41.78,196
Premier League,West Ham United,Soungoutou Magassa,12000000.0,17000000.0,41.67,197
Premier League,Sunderland AFC,Noah Sadiki,12000000.0,17000000.0,41.67,198
Serie A,Bologna FC 1909,Jonathan Rowe,12000000.0,17000000.0,41.67,199
Serie A,Atalanta BC,Nicola Zalewski,12000000.0,17000000.0,41.67,200
Premier League,Newcastle United,Jacob Ramsey,32000000.0,45150000.0,41.09,201
La Liga,Villarreal CF,Georges Mikautadze,22000000.0,31000000.0,40.91,202
Premier League,Arsenal FC,Noni Madueke,40000000.0,56000000.0,40.0,203
Premier League,Nottingham Forest,Dilane Bakwa,25000000.0,35000000.0,40.0,204
Serie A,Hellas Verona,Cheikh Niasse,2500000.0,3500000.0,40.0,205
Liga Portugal,Sporting CP,Alisson Santos,1500000.0,2100000.0,40.0,206
Liga Portugal,GD Estoril Praia,Nodar Lominadze,500000.0,700000.0,40.0,207
Premier League,West Ham United,Mads Hermansen,15000000.0,20800000.0,38.67,208
Bundesliga,Borussia Dortmund,Jobe Bellingham,22000000.0,30500000.0,38.64,209
Serie A,US Lecce,Jamil Siebert,4000000.0,5500000.0,37.5,210
Brasileiro,Sociedade Esportiva Palmeiras,Carlos Miguel,4000000.0,5500000.0,37.5,211
Premier League,Manchester United,Bryan Mbeumo,55000000.0,75000000.0,36.36,212
Premier League,Nottingham Forest,Arnaud Kalimuendo,22000000.0,30000000.0,36.36,213
